"","Var1","Freq"
"724","727",5
"725","728",4
"726","729",6
"727","730",9
"728","731",2
"729","732",3
"730","733",6
"731","734",8
"732","735",4
"733","736",7
"734","737",2
"735","738",3
"736","739",4
"737","740",2
"738","741",2
"739","742",3
"740","743",3
"741","744",3
"742","745",6
"743","746",1
"744","747",3
"745","748",4
"746","749",5
"747","750",5
"748","751",5
"749","752",4
"750","753",6
"751","754",1
"752","755",3
"753","756",6
"754","757",8
"755","758",2
"756","759",4
"757","760",7
"758","761",3
"759","762",3
"760","763",2
"761","764",2
"762","765",3
"763","766",6
"764","767",3
"765","768",4
"766","769",8
"767","770",6
"768","771",1
"769","772",3
"770","773",5
"771","774",7
"772","775",3
"773","776",7
"774","777",1
"775","778",1
"776","779",3
"777","780",6
"778","781",6
"779","782",2
"780","783",3
"781","784",2
"782","785",2
"783","786",6
"784","787",4
"785","788",3
"786","789",3
"787","790",3
"788","791",1
"789","792",2
"790","793",6
"791","794",4
"792","795",1
"793","796",3
"794","797",1
"795","798",2
"796","799",10
"797","800",4
"798","801",2
"799","802",5
"800","803",2
"801","804",2
"802","805",4
"803","806",8
"804","807",3
"805","808",4
"806","809",5
"807","810",2
"808","811",8
"809","812",3
"810","813",1
"811","814",2
"812","815",4
"813","816",4
"814","817",5
"815","818",1
"816","819",3
"817","820",7
"818","821",8
"819","822",3
"820","823",1
"821","824",4
"822","825",7
"823","826",2
"824","827",1
"825","828",3
"826","829",2
"827","830",1
"828","831",7
"829","832",3
"830","833",2
"831","834",4
"832","835",1
"833","836",3
"834","837",3
"835","838",2
"836","839",2
"837","840",2
"838","841",1
"839","842",4
"840","843",3
"841","844",3
"842","845",5
"843","846",2
"844","847",3
"845","848",7
"846","849",4
"847","850",1
"848","851",3
"849","852",6
"850","853",3
"851","854",3
"852","855",5
"853","856",3
"854","857",2
"855","858",5
"856","859",6
"857","860",1
"858","861",3
"859","862",5
"860","863",2
"861","864",4
"862","865",1
"863","866",3
"864","867",3
"865","868",1
"866","869",6
"867","870",4
"868","871",1
"869","872",2
"870","873",3
"871","874",4
"872","876",2
"873","877",1
"874","878",3
"875","879",6
"876","880",6
"877","881",3
"878","882",2
"879","883",3
"880","884",2
"881","885",3
"882","886",7
"883","887",5
"884","888",4
"885","889",3
"886","890",3
"887","891",6
"888","892",6
"889","893",4
"890","894",4
"891","895",1
"892","896",2
"893","897",7
"894","898",3
"895","899",2
"896","900",4
"897","901",5
"898","902",4
"899","903",6
"900","904",1
"901","905",2
"902","906",1
"903","907",5
"904","908",4
"905","909",1
"906","910",7
"907","911",3
"908","912",7
"909","913",4
"910","915",3
"911","916",6
"912","917",1
"913","918",5
"914","919",4
"915","920",6
"916","921",3
"917","922",1
"918","923",2
"919","924",1
"920","925",4
"921","926",5
"922","927",1
"923","928",1
"924","929",1
"925","930",1
"926","931",2
"927","932",2
"928","933",6
"929","934",4
"930","935",2
"931","937",2
"932","938",2
"933","939",4
"934","941",3
"935","942",3
"936","943",4
"937","944",3
"938","945",5
"939","946",1
"940","947",3
"941","949",2
"942","950",4
"943","951",3
"944","952",1
"945","953",6
"946","954",3
"947","955",4
"948","956",2
"949","957",2
"950","958",4
"951","959",5
"952","960",3
"953","961",4
"954","962",1
"955","963",2
"956","964",2
"957","965",2
"958","966",2
"959","967",4
"960","968",2
"961","969",4
"962","970",1
"963","971",5
"964","972",4
"965","973",2
"966","974",5
"967","975",2
"968","976",2
"969","977",6
"970","978",4
"971","979",2
"972","980",5
"973","981",3
"974","982",4
"975","985",2
"976","986",5
"977","987",4
"978","988",5
"979","989",5
"980","990",5
"981","991",1
"982","992",2
"983","993",5
"984","994",1
"985","995",3
"986","996",2
"987","997",3
"988","998",1
"989","999",2
"990","1000",3
"991","1001",2
"992","1002",3
"993","1003",2
"994","1005",1
"995","1006",3
"996","1008",2
"997","1009",1
"998","1010",3
"999","1013",3
"1000","1014",7
"1001","1015",1
"1002","1016",3
"1003","1017",4
"1004","1018",2
"1005","1019",2
"1006","1020",3
"1007","1021",2
"1008","1022",3
"1009","1023",6
"1010","1024",1
"1011","1025",2
"1012","1026",2
"1013","1027",1
"1014","1028",1
"1015","1029",4
"1016","1030",2
"1017","1031",3
"1018","1032",3
"1019","1033",1
"1020","1034",4
"1021","1035",1
"1022","1036",1
"1023","1037",4
"1024","1038",2
"1025","1040",2
"1026","1041",2
"1027","1042",4
"1028","1043",4
"1029","1044",3
"1030","1045",4
"1031","1046",1
"1032","1047",2
"1033","1049",1
"1034","1050",1
"1035","1051",1
"1036","1053",5
"1037","1054",2
"1038","1055",3
"1039","1056",2
"1040","1057",1
"1041","1058",2
"1042","1059",1
"1043","1060",5
"1044","1061",2
"1045","1062",4
"1046","1063",2
"1047","1064",2
"1048","1065",2
"1049","1066",2
"1050","1067",4
"1051","1068",4
"1052","1069",1
"1053","1070",3
"1054","1071",4
"1055","1072",2
"1056","1074",1
"1057","1075",3
"1058","1076",2
"1059","1077",2
"1060","1078",4
"1061","1079",2
"1062","1080",4
"1063","1081",4
"1064","1082",1
"1065","1083",2
"1066","1084",3
"1067","1085",1
"1068","1086",3
"1069","1087",4
"1070","1091",6
"1071","1092",1
"1072","1093",1
"1073","1094",3
"1074","1095",2
"1075","1096",3
"1076","1097",2
"1077","1098",4
"1078","1099",1
"1079","1100",2
"1080","1102",3
"1081","1103",2
"1082","1104",3
"1083","1105",4
"1084","1106",4
"1085","1107",3
"1086","1108",1
"1087","1109",2
"1088","1110",1
"1089","1111",1
"1090","1112",1
"1091","1113",1
"1092","1114",1
"1093","1115",4
"1094","1116",1
"1095","1118",2
"1096","1119",1
"1097","1120",1
"1098","1121",1
"1099","1123",3
"1100","1124",2
"1101","1125",3
"1102","1126",2
"1103","1127",4
"1104","1128",2
"1105","1129",1
"1106","1130",4
"1107","1131",1
"1108","1133",2
"1109","1134",2
"1110","1135",5
"1111","1136",2
"1112","1137",3
"1113","1138",4
"1114","1139",2
"1115","1140",4
"1116","1141",4
"1117","1142",2
"1118","1144",1
"1119","1145",1
"1120","1147",2
"1121","1148",4
"1122","1149",2
"1123","1150",2
"1124","1151",3
"1125","1152",3
"1126","1153",2
"1127","1155",2
"1128","1156",3
"1129","1157",1
"1130","1158",1
"1131","1159",3
"1132","1160",3
"1133","1161",1
"1134","1162",1
"1135","1163",2
"1136","1165",1
"1137","1166",3
"1138","1168",2
"1139","1169",3
"1140","1170",2
"1141","1171",1
"1142","1172",2
"1143","1173",2
"1144","1174",1
"1145","1175",1
"1146","1177",1
"1147","1178",5
"1148","1179",1
"1149","1180",1
"1150","1181",1
"1151","1183",2
"1152","1184",1
"1153","1185",3
"1154","1186",1
"1155","1187",1
"1156","1188",1
"1157","1190",3
"1158","1191",4
"1159","1192",7
"1160","1193",2
"1161","1194",2
"1162","1195",2
"1163","1196",2
"1164","1197",3
"1165","1199",2
"1166","1200",3
"1167","1201",3
"1168","1202",1
"1169","1203",2
"1170","1204",2
"1171","1205",2
"1172","1206",3
"1173","1209",2
"1174","1210",3
"1175","1211",4
"1176","1213",1
"1177","1214",1
"1178","1215",2
"1179","1216",2
"1180","1217",3
"1181","1219",4
"1182","1220",2
"1183","1222",3
"1184","1223",3
"1185","1224",3
"1186","1225",3
"1187","1226",3
"1188","1228",2
"1189","1229",2
"1190","1231",3
"1191","1232",1
"1192","1234",2
"1193","1236",3
"1194","1237",5
"1195","1238",1
"1196","1239",2
"1197","1240",2
"1198","1241",3
"1199","1243",2
"1200","1244",4
"1201","1245",3
"1202","1246",2
"1203","1247",2
"1204","1248",1
"1205","1249",3
"1206","1250",1
"1207","1251",1
"1208","1252",2
"1209","1254",1
"1210","1255",1
"1211","1256",4
"1212","1257",1
"1213","1258",3
"1214","1260",1
"1215","1261",1
"1216","1262",2
"1217","1263",1
"1218","1264",1
"1219","1265",2
"1220","1266",1
"1221","1267",1
"1222","1268",2
"1223","1269",1
"1224","1270",3
"1225","1273",3
"1226","1274",1
"1227","1275",4
"1228","1276",1
"1229","1277",3
"1230","1278",2
"1231","1279",3
"1232","1281",1
"1233","1282",2
"1234","1283",1
"1235","1284",3
"1236","1286",2
"1237","1287",1
"1238","1288",2
"1239","1289",4
"1240","1290",8
"1241","1291",2
"1242","1292",1
"1243","1293",1
"1244","1295",2
"1245","1296",1
"1246","1297",1
"1247","1299",1
"1248","1301",2
"1249","1302",1
"1250","1303",3
"1251","1304",4
"1252","1305",3
"1253","1306",2
"1254","1307",1
"1255","1308",2
"1256","1310",1
"1257","1312",1
"1258","1313",1
"1259","1315",2
"1260","1316",2
"1261","1317",2
"1262","1318",3
"1263","1319",1
"1264","1320",1
"1265","1321",2
"1266","1323",2
"1267","1324",3
"1268","1325",1
"1269","1326",1
"1270","1327",3
"1271","1328",2
"1272","1329",2
"1273","1331",3
"1274","1333",1
"1275","1334",1
"1276","1336",2
"1277","1337",2
"1278","1338",3
"1279","1340",1
"1280","1341",3
"1281","1342",1
"1282","1343",1
"1283","1344",1
"1284","1345",3
"1285","1346",5
"1286","1347",2
"1287","1348",1
"1288","1349",1
"1289","1350",1
"1290","1351",1
"1291","1353",1
"1292","1355",2
"1293","1356",1
"1294","1357",1
"1295","1358",3
"1296","1359",1
"1297","1361",1
"1298","1362",1
"1299","1363",1
"1300","1364",2
"1301","1367",1
"1302","1368",1
"1303","1369",2
"1304","1370",2
"1305","1372",2
"1306","1374",1
"1307","1375",2
"1308","1376",2
"1309","1377",4
"1310","1378",1
"1311","1380",1
"1312","1381",2
"1313","1382",1
"1314","1383",2
"1315","1384",1
"1316","1385",2
"1317","1386",3
"1318","1387",5
"1319","1389",2
"1320","1390",2
"1321","1391",2
"1322","1392",2
"1323","1393",1
"1324","1394",3
"1325","1395",2
"1326","1396",1
"1327","1398",5
"1328","1399",1
"1329","1400",1
"1330","1401",3
"1331","1402",1
"1332","1403",1
"1333","1404",1
"1334","1406",2
"1335","1409",1
"1336","1410",3
"1337","1411",6
"1338","1412",3
"1339","1414",2
"1340","1416",1
"1341","1417",1
"1342","1418",1
"1343","1419",3
"1344","1420",2
"1345","1421",1
"1346","1422",3
"1347","1423",1
"1348","1424",1
"1349","1425",1
"1350","1426",1
"1351","1428",3
"1352","1429",3
"1353","1432",2
"1354","1433",2
"1355","1434",2
"1356","1435",2
"1357","1437",2
"1358","1438",2
"1359","1439",5
"1360","1440",2
"1361","1441",1
"1362","1444",2
"1363","1445",1
"1364","1446",1
"1365","1447",1
"1366","1448",1
"1367","1449",2
"1368","1451",2
"1369","1452",1
"1370","1456",1
"1371","1462",1
"1372","1463",2
"1373","1464",1
"1374","1465",1
"1375","1467",1
"1376","1468",2
"1377","1469",3
"1378","1470",1
"1379","1471",1
"1380","1472",3
"1381","1473",1
"1382","1474",1
"1383","1475",2
"1384","1478",1
"1385","1481",3
"1386","1482",2
"1387","1483",2
"1388","1484",2
"1389","1485",1
"1390","1486",2
"1391","1487",2
"1392","1488",4
"1393","1489",1
"1394","1491",1
"1395","1493",1
"1396","1494",1
"1397","1495",2
"1398","1496",2
"1399","1497",1
"1400","1499",1
"1401","1500",2
"1402","1501",1
"1403","1502",3
"1404","1503",1
"1405","1504",2
"1406","1505",2
"1407","1506",2
"1408","1507",1
"1409","1508",1
"1410","1509",1
"1411","1511",1
"1412","1512",3
"1413","1513",1
"1414","1515",1
"1415","1517",2
"1416","1518",5
"1417","1519",1
"1418","1520",2
"1419","1521",1
"1420","1524",1
"1421","1526",1
"1422","1527",1
"1423","1528",1
"1424","1529",2
"1425","1530",1
"1426","1532",4
"1427","1534",1
"1428","1535",1
"1429","1536",4
"1430","1537",2
"1431","1538",2
"1432","1539",1
"1433","1540",1
"1434","1541",1
"1435","1542",2
"1436","1543",2
"1437","1544",1
